timestamp,type,distance_cm,confidence,box_height_px
2026-03-23T20:22:20.625135,HUMAN,206,0.908,577
2026-03-23T20:22:20.740747,HUMAN,206,0.923,577
2026-03-23T20:22:20.797882,HUMAN,206,0.918,576
2026-03-23T20:22:20.873558,HUMAN,205,0.920,578
2026-03-23T20:22:20.943170,HUMAN,206,0.925,576
2026-03-23T20:22:20.999187,HUMAN,206,0.920,577
2026-03-23T20:22:21.056019,HUMAN,206,0.920,577
2026-03-23T20:22:21.111219,HUMAN,206,0.921,577
2026-03-23T20:22:21.167351,HUMAN,206,0.921,577
2026-03-23T20:22:21.227551,HUMAN,206,0.923,577
2026-03-23T20:22:21.280850,HUMAN,205,0.923,578
2026-03-23T20:22:21.375382,HUMAN,205,0.923,578
2026-03-23T20:22:21.425153,HUMAN,206,0.915,577
2026-03-23T20:22:21.473883,HUMAN,206,0.916,577
2026-03-23T20:22:21.522875,HUMAN,205,0.917,578
2026-03-23T20:22:21.578640,HUMAN,205,0.917,578
2026-03-23T20:22:21.645939,HUMAN,206,0.924,577
2026-03-23T20:22:21.695042,HUMAN,206,0.925,576
2026-03-23T20:22:21.745369,HUMAN,205,0.931,578
2026-03-23T20:22:21.792987,HUMAN,205,0.926,578
2026-03-23T20:22:21.849003,HUMAN,205,0.923,578
2026-03-23T20:22:21.906318,HUMAN,205,0.923,578
2026-03-23T20:22:21.955259,HUMAN,205,0.909,578
2026-03-23T20:22:22.008079,HUMAN,205,0.893,579
2026-03-23T20:22:22.054921,HUMAN,205,0.893,579
2026-03-23T20:22:22.110584,HUMAN,205,0.888,579
2026-03-23T20:22:22.165469,HUMAN,205,0.888,579
2026-03-23T20:22:22.221434,HUMAN,205,0.889,578
2026-03-23T20:22:22.274331,HUMAN,205,0.897,579
2026-03-23T20:22:22.324325,HUMAN,205,0.890,580
2026-03-23T20:22:22.381671,HUMAN,205,0.890,580
2026-03-23T20:22:22.443616,HUMAN,205,0.910,578
2026-03-23T20:22:22.493095,HUMAN,205,0.916,578
2026-03-23T20:22:22.543245,HUMAN,206,0.921,577
2026-03-23T20:22:22.592784,HUMAN,206,0.918,577
2026-03-23T20:22:22.653798,HUMAN,205,0.903,578
2026-03-23T20:22:22.699013,HUMAN,205,0.903,579
2026-03-23T20:22:22.753699,HUMAN,205,0.914,578
2026-03-23T20:22:22.808170,HUMAN,205,0.912,578
2026-03-23T20:22:22.863735,HUMAN,205,0.912,578
2026-03-23T20:22:22.920232,HUMAN,205,0.913,578
2026-03-23T20:22:22.972436,HUMAN,205,0.913,578
2026-03-23T20:22:23.022160,HUMAN,205,0.915,578
2026-03-23T20:22:23.080036,HUMAN,206,0.917,577
2026-03-23T20:22:23.130144,HUMAN,205,0.919,578
2026-03-23T20:22:23.186042,HUMAN,205,0.919,578
2026-03-23T20:22:23.238895,HUMAN,205,0.919,579
2026-03-23T20:22:23.292064,HUMAN,206,0.924,577
2026-03-23T20:22:23.337775,HUMAN,206,0.928,577
2026-03-23T20:22:23.386895,HUMAN,205,0.923,578
2026-03-23T20:22:23.439498,HUMAN,206,0.923,577
2026-03-23T20:22:23.490303,HUMAN,206,0.923,577
2026-03-23T20:22:23.542585,HUMAN,205,0.930,578
