timestamp,type,distance_cm,confidence,box_height_px
2026-03-24 11:26:12,HUMAN,378,0.913,314
2026-03-24 11:26:12,HUMAN,329,0.814,361
2026-03-24 11:26:12,HUMAN,704,0.653,169
2026-03-24 11:26:12,HUMAN,700,0.601,170
2026-03-24 11:26:12,CHILD,600,0.589,140
2026-03-24 11:26:12,HUMAN,798,0.580,149
2026-03-24 11:26:12,HUMAN,804,0.522,148
2026-03-24 11:26:13,HUMAN,374,0.899,318
2026-03-24 11:26:13,HUMAN,757,0.728,157
2026-03-24 11:26:13,HUMAN,595,0.718,200
2026-03-24 11:26:13,CHILD,567,0.645,148
2026-03-24 11:26:13,CHILD,646,0.604,130
2026-03-24 11:26:13,HUMAN,313,0.502,379
2026-03-24 11:26:13,CHILD,541,0.480,155
2026-03-24 11:26:13,HUMAN,376,0.876,316
2026-03-24 11:26:13,HUMAN,607,0.742,196
2026-03-24 11:26:13,HUMAN,753,0.708,158
2026-03-24 11:26:13,CHILD,567,0.649,148
2026-03-24 11:26:13,CHILD,666,0.594,126
2026-03-24 11:26:13,HUMAN,313,0.504,379
2026-03-24 11:26:13,CHILD,549,0.482,153
2026-03-24 11:26:13,HUMAN,376,0.884,316
2026-03-24 11:26:13,HUMAN,595,0.756,200
2026-03-24 11:26:13,HUMAN,739,0.678,161
2026-03-24 11:26:13,CHILD,571,0.608,147
2026-03-24 11:26:13,CHILD,666,0.607,126
2026-03-24 11:26:13,HUMAN,312,0.547,381
2026-03-24 11:26:13,CHILD,549,0.461,153
2026-03-24 11:26:13,HUMAN,375,0.883,317
2026-03-24 11:26:13,HUMAN,592,0.784,201
2026-03-24 11:26:13,HUMAN,777,0.603,153
2026-03-24 11:26:13,CHILD,641,0.592,131
2026-03-24 11:26:13,CHILD,571,0.579,147
2026-03-24 11:26:13,CHILD,549,0.537,153
2026-03-24 11:26:13,HUMAN,311,0.520,382
2026-03-24 11:26:13,HUMAN,376,0.874,316
2026-03-24 11:26:13,HUMAN,586,0.788,203
2026-03-24 11:26:13,HUMAN,868,0.675,137
2026-03-24 11:26:13,CHILD,571,0.610,147
2026-03-24 11:26:13,CHILD,626,0.598,134
2026-03-24 11:26:13,CHILD,545,0.540,154
2026-03-24 11:26:13,HUMAN,309,0.523,384
2026-03-24 11:26:13,HUMAN,376,0.868,316
2026-03-24 11:26:13,HUMAN,580,0.788,205
2026-03-24 11:26:13,CHILD,613,0.595,137
2026-03-24 11:26:13,HUMAN,850,0.592,140
2026-03-24 11:26:13,CHILD,571,0.587,147
2026-03-24 11:26:13,CHILD,549,0.563,153
2026-03-24 11:26:13,HUMAN,309,0.531,384
2026-03-24 11:26:13,HUMAN,804,0.488,148
2026-03-24 11:26:13,HUMAN,376,0.878,316
2026-03-24 11:26:13,HUMAN,583,0.748,204
2026-03-24 11:26:13,HUMAN,815,0.609,146
2026-03-24 11:26:13,CHILD,626,0.599,134
2026-03-24 11:26:13,CHILD,541,0.578,155
2026-03-24 11:26:13,HUMAN,809,0.574,147
2026-03-24 11:26:13,CHILD,583,0.551,144
2026-03-24 11:26:13,HUMAN,798,0.500,149
2026-03-24 11:26:13,HUMAN,310,0.490,383
2026-03-24 11:26:13,HUMAN,377,0.873,315
2026-03-24 11:26:13,HUMAN,574,0.748,207
2026-03-24 11:26:13,CHILD,518,0.646,162
2026-03-24 11:26:13,CHILD,636,0.596,132
2026-03-24 11:26:13,CHILD,538,0.589,156
2026-03-24 11:26:13,CHILD,567,0.570,148
2026-03-24 11:26:13,HUMAN,309,0.507,384
2026-03-24 11:26:13,HUMAN,798,0.467,149
2026-03-24 11:26:13,HUMAN,376,0.864,316
2026-03-24 11:26:13,HUMAN,574,0.748,207
2026-03-24 11:26:13,CHILD,518,0.666,162
2026-03-24 11:26:13,CHILD,631,0.599,133
2026-03-24 11:26:13,CHILD,535,0.588,157
2026-03-24 11:26:13,CHILD,567,0.574,148
2026-03-24 11:26:13,HUMAN,309,0.540,384
2026-03-24 11:26:13,HUMAN,798,0.482,149
2026-03-24 11:26:13,HUMAN,375,0.843,317
2026-03-24 11:26:13,HUMAN,577,0.771,206
2026-03-24 11:26:13,CHILD,563,0.678,149
2026-03-24 11:26:13,CHILD,622,0.588,135
2026-03-24 11:26:13,HUMAN,310,0.580,383
2026-03-24 11:26:13,CHILD,571,0.543,147
2026-03-24 11:26:13,CHILD,541,0.538,155
2026-03-24 11:26:13,HUMAN,798,0.454,149
2026-03-24 11:26:14,HUMAN,375,0.878,317
2026-03-24 11:26:14,CHILD,497,0.719,169
2026-03-24 11:26:14,HUMAN,583,0.717,204
2026-03-24 11:26:14,CHILD,622,0.601,135
2026-03-24 11:26:14,CHILD,541,0.582,155
2026-03-24 11:26:14,HUMAN,311,0.571,382
2026-03-24 11:26:14,CHILD,583,0.508,144
2026-03-24 11:26:14,HUMAN,804,0.498,148
2026-03-24 11:26:14,HUMAN,376,0.870,316
2026-03-24 11:26:14,CHILD,531,0.729,158
2026-03-24 11:26:14,HUMAN,574,0.713,207
2026-03-24 11:26:14,CHILD,636,0.588,132
2026-03-24 11:26:14,CHILD,545,0.581,154
