timestamp,type,distance_cm,confidence,box_height_px
2026-03-23T20:23:06.383824,HUMAN,206,0.905,577
2026-03-23T20:23:06.567080,HUMAN,205,0.921,580
2026-03-23T20:23:06.686671,HUMAN,205,0.917,579
2026-03-23T20:23:06.788742,HUMAN,204,0.922,582
2026-03-23T20:23:06.867826,HUMAN,205,0.914,580
2026-03-23T20:23:06.927562,HUMAN,204,0.921,582
2026-03-23T20:23:07.006576,HUMAN,204,0.923,582
2026-03-23T20:23:07.089149,HUMAN,204,0.922,582
2026-03-23T20:23:07.144552,HUMAN,204,0.925,582
2026-03-23T20:23:07.197132,HUMAN,205,0.919,580
2026-03-23T20:23:07.251958,HUMAN,205,0.919,578
2026-03-23T20:23:07.321553,HUMAN,205,0.916,580
2026-03-23T20:23:07.377058,HUMAN,204,0.924,581
2026-03-23T20:23:07.437677,HUMAN,205,0.916,580
2026-03-23T20:23:07.496027,HUMAN,205,0.909,578
2026-03-23T20:23:07.548205,HUMAN,205,0.909,578
2026-03-23T20:23:07.604706,HUMAN,204,0.917,581
2026-03-23T20:23:07.653734,HUMAN,204,0.917,581
2026-03-23T20:23:07.705170,HUMAN,205,0.919,580
2026-03-23T20:23:07.755136,HUMAN,205,0.915,580
2026-03-23T20:23:07.821632,HUMAN,205,0.918,580
2026-03-23T20:23:07.886288,HUMAN,205,0.906,578
2026-03-23T20:23:07.939757,HUMAN,205,0.918,578
2026-03-23T20:23:07.993813,HUMAN,205,0.918,578
2026-03-23T20:23:08.053054,HUMAN,205,0.909,579
2026-03-23T20:23:08.108402,HUMAN,205,0.912,578
2026-03-23T20:23:08.167741,HUMAN,205,0.915,578
2026-03-23T20:23:08.252084,HUMAN,205,0.915,578
2026-03-23T20:23:08.346439,HUMAN,205,0.915,580
2026-03-23T20:23:08.414729,HUMAN,205,0.915,580
2026-03-23T20:23:08.475707,HUMAN,205,0.908,578
2026-03-23T20:23:08.532047,HUMAN,205,0.907,580
2026-03-23T20:23:08.590713,HUMAN,204,0.910,581
2026-03-23T20:23:08.644793,HUMAN,204,0.910,581
2026-03-23T20:23:08.707180,HUMAN,205,0.915,580
2026-03-23T20:23:08.757133,HUMAN,205,0.912,580
2026-03-23T20:23:08.812565,HUMAN,204,0.920,581
2026-03-23T20:23:08.864350,HUMAN,205,0.913,580
2026-03-23T20:23:08.914762,HUMAN,205,0.920,578
2026-03-23T20:23:08.965798,HUMAN,205,0.912,579
2026-03-23T20:23:09.018650,HUMAN,204,0.913,582
2026-03-23T20:23:09.076137,HUMAN,203,0.917,584
2026-03-23T20:23:09.127043,HUMAN,203,0.917,584
2026-03-23T20:23:09.184192,HUMAN,204,0.928,581
2026-03-23T20:23:09.234803,HUMAN,204,0.928,581
2026-03-23T20:23:09.287570,HUMAN,206,0.905,577
2026-03-23T20:23:09.338117,HUMAN,206,0.911,576
2026-03-23T20:23:09.389269,HUMAN,208,0.907,572
2026-03-23T20:23:09.448612,HUMAN,208,0.907,572
2026-03-23T20:23:09.498106,HUMAN,210,0.911,566
2026-03-23T20:23:09.546913,HUMAN,211,0.922,562
2026-03-23T20:23:09.596946,HUMAN,212,0.931,561
2026-03-23T20:23:09.646746,HUMAN,212,0.940,560
2026-03-23T20:23:09.706087,HUMAN,212,0.922,559
2026-03-23T20:23:09.771194,HUMAN,210,0.925,564
2026-03-23T20:23:09.827773,HUMAN,211,0.913,562
2026-03-23T20:23:09.877938,HUMAN,210,0.899,564
2026-03-23T20:23:09.924811,HUMAN,210,0.899,564
2026-03-23T20:23:09.972011,HUMAN,208,0.891,570
2026-03-23T20:23:10.022119,HUMAN,208,0.891,570
2026-03-23T20:23:10.074779,HUMAN,205,0.886,579
2026-03-23T20:23:10.127322,HUMAN,207,0.886,573
2026-03-23T20:23:10.175524,HUMAN,206,0.890,577
2026-03-23T20:23:10.228794,HUMAN,206,0.890,577
2026-03-23T20:23:10.282874,HUMAN,208,0.885,571
2026-03-23T20:23:10.337283,HUMAN,203,0.898,586
2026-03-23T20:23:10.387554,HUMAN,202,0.900,589
2026-03-23T20:23:10.443293,HUMAN,201,0.898,590
2026-03-23T20:23:10.491862,HUMAN,200,0.899,593
2026-03-23T20:23:10.546509,HUMAN,200,0.899,593
2026-03-23T20:23:10.598457,HUMAN,200,0.904,595
2026-03-23T20:23:10.650110,HUMAN,200,0.913,593
2026-03-23T20:23:10.703353,HUMAN,203,0.864,586
2026-03-23T20:23:10.757678,HUMAN,206,0.885,575
2026-03-23T20:23:10.831414,HUMAN,206,0.885,575
2026-03-23T20:23:10.887899,HUMAN,215,0.906,553
2026-03-23T20:23:10.938416,HUMAN,218,0.915,544
2026-03-23T20:23:10.991066,HUMAN,219,0.915,541
2026-03-23T20:23:11.040889,HUMAN,219,0.915,541
2026-03-23T20:23:11.094656,HUMAN,221,0.918,538
2026-03-23T20:23:11.144812,HUMAN,225,0.944,527
2026-03-23T20:23:11.196516,HUMAN,227,0.937,523
2026-03-23T20:23:11.245962,HUMAN,228,0.938,520
2026-03-23T20:23:11.291741,HUMAN,229,0.940,519
2026-03-23T20:23:11.342020,HUMAN,229,0.940,519
2026-03-23T20:23:11.409210,HUMAN,230,0.935,516
2026-03-23T20:23:11.473584,HUMAN,231,0.938,513
2026-03-23T20:23:11.527566,HUMAN,231,0.936,515
2026-03-23T20:23:11.578255,HUMAN,232,0.931,512
2026-03-23T20:23:11.628054,HUMAN,232,0.931,512
2026-03-23T20:23:11.685947,HUMAN,232,0.934,512
2026-03-23T20:23:11.740753,HUMAN,231,0.934,513
2026-03-23T20:23:11.805140,HUMAN,231,0.937,514
2026-03-23T20:23:11.867061,HUMAN,231,0.937,514
2026-03-23T20:23:11.923267,HUMAN,230,0.937,516
2026-03-23T20:23:11.976494,HUMAN,230,0.937,516
2026-03-23T20:23:12.033004,HUMAN,230,0.938,516
2026-03-23T20:23:12.086632,HUMAN,230,0.937,517
2026-03-23T20:23:12.145460,HUMAN,229,0.937,519
2026-03-23T20:23:12.209448,HUMAN,230,0.936,517
2026-03-23T20:23:12.262416,HUMAN,229,0.938,519
2026-03-23T20:23:12.317464,HUMAN,229,0.939,519
2026-03-23T20:23:12.377563,HUMAN,229,0.939,519
2026-03-23T20:23:12.430747,HUMAN,228,0.937,520
2026-03-23T20:23:12.485735,HUMAN,228,0.939,520
2026-03-23T20:23:12.538380,HUMAN,228,0.939,520
2026-03-23T20:23:12.594622,HUMAN,228,0.935,520
2026-03-23T20:23:12.644181,HUMAN,228,0.937,520
2026-03-23T20:23:12.695192,HUMAN,228,0.937,520
2026-03-23T20:23:12.747334,HUMAN,228,0.940,520
2026-03-23T20:23:12.798325,HUMAN,228,0.940,520
2026-03-23T20:23:12.850646,HUMAN,228,0.938,520
2026-03-23T20:23:12.901714,HUMAN,228,0.939,521
2026-03-23T20:23:12.952840,HUMAN,227,0.940,522
2026-03-23T20:23:13.004737,HUMAN,227,0.943,523
2026-03-23T20:23:13.057812,HUMAN,226,0.942,525
2026-03-23T20:23:13.105796,HUMAN,225,0.939,527
2026-03-23T20:23:13.154233,HUMAN,225,0.939,527
2026-03-23T20:23:13.199812,HUMAN,223,0.936,532
2026-03-23T20:23:13.248618,HUMAN,223,0.936,532
2026-03-23T20:23:13.300333,HUMAN,222,0.939,536
2026-03-23T20:23:13.345415,HUMAN,221,0.934,537
2026-03-23T20:23:13.402294,HUMAN,222,0.939,536
2026-03-23T20:23:13.462382,HUMAN,222,0.939,536
2026-03-23T20:23:13.519635,HUMAN,222,0.939,536
2026-03-23T20:23:13.580338,HUMAN,222,0.939,536
2026-03-23T20:23:13.632155,HUMAN,222,0.939,535
2026-03-23T20:23:13.682477,HUMAN,222,0.938,534
2026-03-23T20:23:13.735114,HUMAN,222,0.939,534
2026-03-23T20:23:13.785496,HUMAN,222,0.937,534
2026-03-23T20:23:13.835118,HUMAN,222,0.935,534
2026-03-23T20:23:13.883475,HUMAN,222,0.936,536
2026-03-23T20:23:13.935770,HUMAN,222,0.936,536
2026-03-23T20:23:13.984922,HUMAN,221,0.938,537
2026-03-23T20:23:14.031750,HUMAN,221,0.938,537
2026-03-23T20:23:14.083289,HUMAN,222,0.935,534
2026-03-23T20:23:14.127206,HUMAN,222,0.937,534
2026-03-23T20:23:14.173896,HUMAN,222,0.944,534
2026-03-23T20:23:14.224470,HUMAN,222,0.944,534
2026-03-23T20:23:14.279146,HUMAN,224,0.942,531
2026-03-23T20:23:14.329095,HUMAN,222,0.943,535
2026-03-23T20:23:14.379399,HUMAN,222,0.943,535
2026-03-23T20:23:14.429762,HUMAN,222,0.943,534
2026-03-23T20:23:14.482689,HUMAN,222,0.944,534
2026-03-23T20:23:14.534440,HUMAN,222,0.944,534
2026-03-23T20:23:14.582788,HUMAN,222,0.939,534
2026-03-23T20:23:14.633226,HUMAN,223,0.936,533
2026-03-23T20:23:14.687672,HUMAN,223,0.937,533
2026-03-23T20:23:14.741075,HUMAN,224,0.933,531
2026-03-23T20:23:14.793608,HUMAN,224,0.933,531
2026-03-23T20:23:14.851052,HUMAN,224,0.931,530
2026-03-23T20:23:14.910794,HUMAN,223,0.938,532
2026-03-23T20:23:14.965049,HUMAN,222,0.938,535
2026-03-23T20:23:15.014413,HUMAN,222,0.938,535
2026-03-23T20:23:15.062590,HUMAN,223,0.942,533
2026-03-23T20:23:15.112750,HUMAN,222,0.943,535
2026-03-23T20:23:15.160325,HUMAN,222,0.943,535
2026-03-23T20:23:15.210424,HUMAN,223,0.941,532
2026-03-23T20:23:15.261858,HUMAN,223,0.941,532
2026-03-23T20:23:15.312650,HUMAN,222,0.942,535
2026-03-23T20:23:15.360798,HUMAN,222,0.944,534
2026-03-23T20:23:15.407114,HUMAN,223,0.947,533
2026-03-23T20:23:15.456469,HUMAN,223,0.947,533
2026-03-23T20:23:15.505007,HUMAN,222,0.943,534
2026-03-23T20:23:15.552283,HUMAN,222,0.943,535
2026-03-23T20:23:15.596930,HUMAN,222,0.938,534
2026-03-23T20:23:15.645364,HUMAN,222,0.938,534
2026-03-23T20:23:15.693174,HUMAN,222,0.939,536
2026-03-23T20:23:15.742078,HUMAN,222,0.939,536
2026-03-23T20:23:15.796697,HUMAN,222,0.933,535
2026-03-23T20:23:15.848844,HUMAN,222,0.936,534
2026-03-23T20:23:15.903577,HUMAN,223,0.933,533
2026-03-23T20:23:15.952413,HUMAN,223,0.939,533
2026-03-23T20:23:16.003806,HUMAN,223,0.939,533
2026-03-23T20:23:16.049181,HUMAN,223,0.939,532
2026-03-23T20:23:16.098871,HUMAN,224,0.933,531
2026-03-23T20:23:16.146664,HUMAN,222,0.938,535
