Timestamp,Object,Track_ID,Zone,Image
2026-03-12T21:44:36.935190,2,ADULT,CRITICAL,front_left,2.27,0.864,1,0
2026-03-12T21:44:37.098317,2,ADULT,CRITICAL,front_left,2.26,0.864,1,0
2026-03-12T21:44:37.282219,2,ADULT,CRITICAL,front_left,2.25,0.867,1,0
2026-03-12T21:44:37.416375,2,ADULT,CRITICAL,front_left,2.25,0.879,1,0
2026-03-12T21:44:37.660476,2,ADULT,CRITICAL,front_left,2.25,0.891,1,0
2026-03-12T21:44:37.881056,2,ADULT,CRITICAL,front_left,2.25,0.892,1,0
2026-03-12T21:44:38.102297,2,ADULT,CRITICAL,front_left,2.24,0.883,1,0
2026-03-12T21:44:38.278528,2,ADULT,CRITICAL,front_left,2.25,0.899,1,0
2026-03-12T21:44:38.449514,2,ADULT,CRITICAL,front_left,2.25,0.895,1,0
2026-03-12T21:44:38.657088,2,ADULT,CRITICAL,front_left,2.25,0.893,1,0
2026-03-12T21:44:38.865999,2,ADULT,CRITICAL,front_left,2.26,0.891,1,0
2026-03-12T21:44:39.064233,2,ADULT,CRITICAL,front_left,2.26,0.896,1,0
2026-03-12T21:44:39.260511,2,ADULT,CRITICAL,front_left,2.26,0.89,1,0
2026-03-12T21:44:39.389638,2,ADULT,CRITICAL,front_left,2.27,0.899,1,0
2026-03-12T21:44:39.563391,2,ADULT,CRITICAL,front_left,2.28,0.905,1,0
2026-03-12T21:44:39.719727,2,ADULT,CRITICAL,front_left,2.28,0.888,1,0
2026-03-12T21:44:39.910899,2,ADULT,CRITICAL,front_left,2.28,0.898,1,0
2026-03-12T21:44:40.096817,2,ADULT,CRITICAL,front_left,2.28,0.916,1,0
2026-03-12T21:44:40.304594,2,ADULT,CRITICAL,front_left,2.28,0.918,1,0
2026-03-12T21:44:40.450612,2,ADULT,CRITICAL,front_left,2.28,0.904,1,0
2026-03-12T21:44:40.603415,2,ADULT,CRITICAL,front_left,2.29,0.892,1,0
2026-03-12T21:44:40.839047,2,ADULT,CRITICAL,front_left,2.29,0.875,1,0
2026-03-12T21:44:41.062555,2,ADULT,CRITICAL,front_left,2.29,0.892,1,0
2026-03-12T21:44:41.321422,2,ADULT,CRITICAL,front_left,2.3,0.881,1,0
2026-03-12T21:44:41.575516,2,ADULT,CRITICAL,front_left,2.31,0.877,1,0
2026-03-12T21:44:41.870960,2,ADULT,CRITICAL,front_left,2.32,0.927,1,0
2026-03-12T21:44:42.107356,2,ADULT,CRITICAL,front_left,2.33,0.941,1,0
2026-03-12T21:44:42.327035,2,ADULT,CRITICAL,front_left,2.34,0.937,1,0
2026-03-12T21:44:42.551853,2,ADULT,CRITICAL,front_left,2.35,0.94,1,0
2026-03-12T21:44:42.750666,2,ADULT,CRITICAL,front_left,2.36,0.941,1,0
2026-03-12T21:44:42.909684,2,ADULT,CRITICAL,front_left,2.37,0.939,1,0
2026-03-12T21:44:43.094552,2,ADULT,CRITICAL,front_left,2.37,0.921,1,0
2026-03-12T21:44:43.267600,2,ADULT,CRITICAL,front_left,2.36,0.938,1,0
2026-03-12T21:44:43.583434,2,ADULT,CRITICAL,front_left,2.36,0.928,1,0
2026-03-12T21:44:43.795252,2,ADULT,CRITICAL,front_left,2.36,0.931,1,0
2026-03-12T21:44:44.008147,2,ADULT,CRITICAL,front_left,2.36,0.936,1,0
2026-03-12T21:44:44.278119,2,ADULT,CRITICAL,front_left,2.36,0.934,1,0
2026-03-12T21:44:44.528688,2,ADULT,CRITICAL,front_left,2.35,0.936,1,0
2026-03-12T21:44:44.740952,2,ADULT,CRITICAL,front_left,2.35,0.93,1,0
2026-03-12T21:44:44.926805,2,ADULT,CRITICAL,front_left,2.35,0.95,1,0
2026-03-12T21:44:45.079741,2,ADULT,CRITICAL,front_left,2.34,0.945,1,0
2026-03-12T21:44:45.269111,2,ADULT,CRITICAL,front_left,2.34,0.94,1,0
