timestamp,type,distance_cm,confidence,box_height_px
2026-03-23T20:14:59.048147,HUMAN,206,0.883,577
2026-03-23T20:14:59.201977,HUMAN,204,0.913,581
2026-03-23T20:14:59.300849,HUMAN,204,0.913,581
2026-03-23T20:14:59.363085,HUMAN,204,0.916,582
2026-03-23T20:14:59.417011,HUMAN,205,0.916,580
2026-03-23T20:14:59.474432,HUMAN,205,0.916,580
2026-03-23T20:14:59.528558,HUMAN,204,0.917,582
2026-03-23T20:14:59.583023,HUMAN,204,0.910,582
2026-03-23T20:14:59.634573,HUMAN,204,0.912,582
2026-03-23T20:14:59.691371,HUMAN,204,0.912,582
2026-03-23T20:14:59.756684,HUMAN,204,0.914,582
2026-03-23T20:14:59.837042,HUMAN,204,0.916,581
2026-03-23T20:14:59.987112,HUMAN,204,0.917,582
2026-03-23T20:15:00.064746,HUMAN,205,0.919,580
2026-03-23T20:15:00.213939,HUMAN,204,0.919,581
2026-03-23T20:15:00.303506,HUMAN,204,0.921,583
2026-03-23T20:15:00.365674,HUMAN,204,0.917,583
2026-03-23T20:15:00.427686,HUMAN,204,0.918,583
2026-03-23T20:15:00.481188,HUMAN,204,0.919,581
2026-03-23T20:15:00.544800,HUMAN,204,0.919,582
2026-03-23T20:15:00.605931,HUMAN,204,0.919,583
2026-03-23T20:15:00.672336,HUMAN,204,0.919,583
2026-03-23T20:15:00.734254,HUMAN,203,0.917,584
2026-03-23T20:15:00.795214,HUMAN,204,0.917,583
2026-03-23T20:15:00.861307,HUMAN,204,0.915,582
2026-03-23T20:15:00.922910,HUMAN,204,0.915,583
2026-03-23T20:15:00.985372,HUMAN,205,0.911,580
2026-03-23T20:15:01.060055,HUMAN,204,0.917,582
2026-03-23T20:15:01.127484,HUMAN,204,0.918,582
2026-03-23T20:15:01.186514,HUMAN,204,0.920,581
2026-03-23T20:15:01.243468,HUMAN,204,0.921,581
2026-03-23T20:15:01.303031,HUMAN,204,0.923,583
2026-03-23T20:15:01.410123,HUMAN,204,0.918,583
2026-03-23T20:15:01.481277,HUMAN,204,0.915,581
2026-03-23T20:15:01.546914,HUMAN,204,0.909,581
2026-03-23T20:15:01.612007,HUMAN,204,0.913,581
2026-03-23T20:15:01.670830,HUMAN,204,0.918,583
2026-03-23T20:15:01.728835,HUMAN,204,0.911,582
2026-03-23T20:15:01.786422,HUMAN,204,0.921,582
2026-03-23T20:15:01.842399,HUMAN,203,0.915,585
2026-03-23T20:15:01.897864,HUMAN,204,0.918,582
2026-03-23T20:15:01.955407,HUMAN,204,0.917,582
2026-03-23T20:15:02.011752,HUMAN,204,0.917,582
2026-03-23T20:15:02.079237,HUMAN,203,0.915,584
2026-03-23T20:15:02.138657,HUMAN,203,0.919,585
2026-03-23T20:15:02.199490,HUMAN,203,0.919,585
2026-03-23T20:15:02.263972,HUMAN,203,0.915,585
2026-03-23T20:15:02.334921,HUMAN,203,0.915,585
2026-03-23T20:15:02.402880,HUMAN,204,0.914,583
2026-03-23T20:15:02.463799,HUMAN,204,0.915,583
2026-03-23T20:15:02.519907,HUMAN,203,0.920,585
2026-03-23T20:15:02.570236,HUMAN,204,0.921,582
2026-03-23T20:15:02.621770,HUMAN,204,0.916,583
2026-03-23T20:15:02.678284,HUMAN,204,0.916,583
2026-03-23T20:15:02.740230,HUMAN,203,0.914,584
2026-03-23T20:15:02.801367,HUMAN,204,0.918,583
2026-03-23T20:15:02.860189,HUMAN,203,0.917,584
2026-03-23T20:15:02.915827,HUMAN,203,0.917,584
2026-03-23T20:15:02.975058,HUMAN,204,0.912,582
2026-03-23T20:15:03.031198,HUMAN,203,0.913,585
2026-03-23T20:15:03.093330,HUMAN,204,0.918,582
2026-03-23T20:15:03.147502,HUMAN,203,0.913,584
